Life Regen,ライフ再生
{0}% increased Cast Speed when on Full Life,フルライフ時にキャストスピードが{0}%増加する
{0}% reduced Cast Speed when on Full Life,フルライフ時にキャストスピードが{0}%減少する
{0}% increased Cast Speed per Frenzy Charge,フレンジーチャージ1個ごとにキャストスピードが{0}%増加する
{0}% reduced Cast Speed per Frenzy Charge,フレンジーチャージ1個ごとにキャストスピードが{0}%減少する
{0}% increased Knockback Distance,ノックバック距離が{0}%増加する
{0}% reduced Knockback Distance,ノックバック距離が{0}%減少する
{0} to Accuracy Rating with Swords,剣の命中力 {0}
{0} to Accuracy Rating with Bows,弓の命中力 {0}
{0} to Accuracy Rating with Daggers,短剣の命中力 {0}
{0} to Accuracy Rating with Axes,斧の命中力 {0}
{0} to Accuracy Rating with Claws,鉤爪の命中力 {0}
{0} to Accuracy Rating with Staves,スタッフの命中力 {0}
{0} to Accuracy Rating with Maces and Sceptres,メイスとセプターでのアキュラシーレーティングが{0}
{0} to Accuracy Rating with Wands,ワンドの命中力 {0}
{0}% increased Rarity of Items Dropped by Slain Enemies,倒した敵からドロップするアイテムのレアリティが{0}%増加する
{0}% reduced Rarity of Items Dropped by Slain Enemies,倒した敵からドロップするアイテムのレアリティが{0}%減少する
{0}% increased Quantity of Items Dropped by Slain Enemies,倒した敵がドロップするアイテムの数量が{0}%増加する
{0}% reduced Quantity of Items Dropped by Slain Enemies,倒した敵がドロップするアイテムの数量が{0}%減少する
{0}% increased Duration per {1} Strength,{1}のストレングスごとに{0}%増加した持続時間
Strength provides no bonus to Maximum Life,筋力は最大ライフにボーナスを与えない
Intelligence provides no bonus to Maximum Mana,知力は最大マナにボーナスを与えない
{0} Accuracy Rating per {1} Intelligence,{1}の知力ごとに{0}の命中力
{0} Life per {1} Dexterity,{1}のデックスごとに{0}のライフ
{0} Mana per {1} Strength,{1}のストレングスごとに{0}のマナ
{0} to Maximum Life per {1} Intelligence,{1}の知力ごとに最大ライフが{0}
{0}% increased Accuracy Rating,命中力が{0}%増加する
{0}% reduced Accuracy Rating,命中力が{0}%減少する
{0}% chance to Ignite,{0}%の確率で敵を発火させる
Always Ignite,常に発火を付与する
{0}% chance to Scorch Enemies,{0}%の確率で敵に焦げを付与する
Always Scorch Enemies,常に敵に焦げを付与する
{0}% more Burning Damage,燃焼ダメージが{0}%上昇する
{0}% less Burning Damage,燃焼ダメージが{0}%低下する
Always Freezes Enemies on Hit,ヒット時に常に敵を凍結させる
{0}% chance to Freeze,{0}%の確率で敵を凍結させる
{0}% chance to inflict Brittle,{0}%の確率で脆弱を付与する
Always inflict Brittle,常に脆弱を付与する
Critical Strikes do not always Freeze,クリティカルストライクは必ずしも凍結させない
{0}% chance to Freeze Enemies which are Chilled,{0}%の確率で冷却状態の敵を凍結させる
{0}% chance to Shock,{0}%の確率で敵を感電させる
Always Shock,常に敵を感電させる
{0}% chance to Sap Enemies,{0}%の確率で敵を消耗させる
Always Sap Enemies,常に敵を消耗させる
{0}% increased Area Damage,範囲ダメージが{0}%増加する
{0}% reduced Area Damage,範囲ダメージが{0}%減少する
Gain {0}% of Wand Physical Damage as Extra Fire Damage,ワンドの物理ダメージの{0}%を追加火ダメージとして獲得する
Gain {0}% of Wand Physical Damage as Extra Cold Damage,ワンドの物理ダメージの{0}%を追加冷気ダメージとして獲得する
Gain {0}% of Wand Physical Damage as Extra Lightning Damage,ワンドの物理ダメージの{0}%を追加雷ダメージとして獲得する
Hits that Stun Enemies have Culling Strike,敵をスタンさせたヒットはカリングストライクを獲得する
{0}% chance to Cause Monsters to Flee,{0}%の確率でモンスターを逃走させる
Hits can't be Evaded,ヒットを回避されることがない
Your hits can't be Evaded,プレイヤーのヒットは回避されることがない
All hits are Critical Strikes,全てのヒットはクリティカルストライクとなる
Increases wall length by {0},壁の長さを{0}増加させる
{0}% increased Attack and Cast Speed,アタックスピードおよびキャストスピードが{0}%増加する
{0}% reduced Attack and Cast Speed,アタックスピードおよびキャストスピードが{0}%減少する
{0}% increased Attack Speed per Frenzy Charge,フレンジーチャージ1個ごとにアタックスピードが{0}%増加する
{0}% reduced Attack Speed per Frenzy Charge,フレンジーチャージ1個ごとにアタックスピードが{0}%減少する
{0}% increased Attack and Cast Speed per Frenzy Charge,フレンジーチャージ1個ごとにアタックスピードおよびキャストスピードが{0}%増加する
{0}% reduced Attack and Cast Speed per Frenzy Charge,フレンジーチャージ1個ごとにアタックスピードおよびキャストスピードが{0}%減少する
{0}% increased Accuracy Rating per Frenzy Charge,フレンジーチャージ1個ごとに命中力が{0}%増加する
{0}% reduced Accuracy Rating per Frenzy Charge,フレンジーチャージ1個ごとに命中力が{0}%減少する
{0}% increased Frenzy Charge Duration per Frenzy Charge,フレンジーチャージ1個ごとにフレンジーチャージの持続時間が{0}%増加する
{0}% reduced Frenzy Charge Duration per Frenzy Charge,フレンジーチャージ1個ごとにフレンジーチャージの持続時間が{0}%減少する
"While at maximum Frenzy Charges, Attacks Poison Enemies",フレンジーチャージが最大数の時にアタックは敵に毒を付与する
Attacks have {0}% chance to Poison while at maximum Frenzy Charges,フレンジーチャージが最大数の時にアタックは{0}%の確率で毒を付与する
Attacks always Poison while at maximum Frenzy Charges,フレンジーチャージが最大数の時にアタックは常に毒を付与する
{0}% Global Critical Strike Multiplier while you have no Frenzy Charges,フレンジーチャージがない場合にグローバルクリティカルダメージ倍率 {0}%
{0}% increased Area of Effect while you have no Frenzy Charges,フレンジーチャージがない場合に効果範囲が{0}%増加する
{0}% reduced Area of Effect while you have no Frenzy Charges,フレンジーチャージがない場合に効果範囲が{0}%減少する
{0}% increased Character Size,キャラクターサイズが{0}%増加する
{0}% reduced Character Size,キャラクターサイズが{0}%減少する
Gain a Power Charge when a Minion Dies,ミニオン死亡時にパワーチャージを1個獲得する
{0}% increased Life Recovery from Flasks,フラスコによるライフ回復量が{0}%増加する
{0}% increased Mana Recovery from Flasks,フラスコによるマナ回復量が{0}%増加する
{0}% increased Flask Recovery rate,フラスコ回復レートが{0}%増加する
Flasks gain a Charge when you take a Critical Strike,プレイヤーがクリティカルストライクを受けた時にフラスコチャージを1獲得する
Flasks gain {0} Charges when you take a Critical Strike,プレイヤーがクリティカルストライクを受けた時にフラスコチャージを{0}獲得する
{0}% chance for Flasks to gain a Charge when you take a Critical Strike,プレイヤーがクリティカルストライクを受けた時に{0}%の確率でフラスコチャージを1獲得する
{0}% chance for Flasks to gain {1} Charges when you take a Critical Strike,プレイヤーがクリティカルストライクを受けた時に{0}%の確率でフラスコチャージを{1}獲得する
{0}% increased Fire Damage with Weapons,武器による火ダメージが{0}%増加する
{0}% reduced Fire Damage with Weapons,武器による火ダメージが{0}%減少する
{0}% increased Cold Damage with Weapons,武器による冷気ダメージが{0}%増加する
{0}% reduced Cold Damage with Weapons,武器による冷気ダメージが{0}%減少する
{0}% increased Lightning Damage with Weapons,武器による雷ダメージが{0}%増加する
{0}% reduced Lightning Damage with Weapons,武器による雷ダメージが{0}%減少する
{0}% increased Chaos Damage with Weapons,武器による混沌ダメージが{0}%増加する
{0}% reduced Chaos Damage with Weapons,武器による混沌ダメージが{0}%減少する
{0}% increased Spell Elemental Damage,スペル元素ダメージが{0}%増加する
Adds {0} to {1} Lightning Damage to Wand Attacks,ワンド攻撃に{0}から{1}の雷ダメージを追加する
Adds {0} to {1} Fire Damage to Wand Attacks,ワンド攻撃に{0}から{1}の炎ダメージを追加する
Adds {0} to {1} Cold Damage to Wand Attacks,ワンド攻撃に{0}から{1}の冷気ダメージを追加する
Adds {0} to {1} Physical Damage to Bow Attacks,弓攻撃に{0}から{1}の物理ダメージを追加する
Adds {0} to {1} Cold Damage to Axe Attacks,斧攻撃に{0}から{1}の冷気ダメージを追加する
Adds {0} to {1} Cold Damage to Bow Attacks,弓攻撃に{0}から{1}の冷気ダメージを追加する
Adds {0} to {1} Cold Damage to Claw Attacks,クロー攻撃に{0}から{1}の冷気ダメージを追加する
Adds {0} to {1} Cold Damage to Dagger Attacks,ダガー攻撃に{0}から{1}の冷気ダメージを追加する
Adds {0} to {1} Cold Damage to Mace and Sceptre Attacks,メイスとセプター攻撃に{0}から{1}の冷気ダメージを追加する
Adds {0} to {1} Cold Damage to Staff Attacks,スタッフ攻撃に{0}から{1}の冷気ダメージを追加する
Adds {0} to {1} Cold Damage to Sword Attacks,ソード攻撃に{0}から{1}の冷気ダメージを追加する
Adds {0} to {1} Fire Damage to Axe Attacks,斧攻撃に{0}から{1}の炎ダメージを追加する
Adds {0} to {1} Fire Damage to Bow Attacks,弓攻撃に{0}から{1}の炎ダメージを追加する
Adds {0} to {1} Fire Damage to Claw Attacks,クロー攻撃に{0}から{1}の炎ダメージを追加する
Adds {0} to {1} Fire Damage to Dagger Attacks,ダガー攻撃に{0}から{1}の炎ダメージを追加する
Adds {0} to {1} Fire Damage to Mace and Sceptre Attacks,メイスとセプター攻撃に{0}から{1}の炎ダメージを追加する
Adds {0} to {1} Fire Damage to Staff Attacks,スタッフ攻撃に{0}から{1}の炎ダメージを追加する
Adds {0} to {1} Fire Damage to Sword Attacks,ソード攻撃に{0}から{1}の炎ダメージを追加する
Adds {0} to {1} Lightning Damage to Axe Attacks,斧攻撃に{0}から{1}の雷ダメージを追加する
Adds {0} to {1} Lightning Damage to Bow Attacks,弓攻撃に{0}から{1}の雷ダメージを追加する
Adds {0} to {1} Lightning Damage to Claw Attacks,クロー攻撃に{0}から{1}の雷ダメージを追加する
Adds {0} to {1} Lightning Damage to Dagger Attacks,ダガー攻撃に{0}から{1}の雷ダメージを追加する
Adds {0} to {1} Lightning Damage to Mace and Sceptre Attacks,メイスとセプター攻撃に{0}から{1}の雷ダメージを追加する
Adds {0} to {1} Lightning Damage to Staff Attacks,スタッフ攻撃に{0}から{1}の雷ダメージを追加する
Adds {0} to {1} Lightning Damage to Sword Attacks,ソード攻撃に{0}から{1}の雷ダメージを追加する
Adds {0} to {1} Physical Damage to Attacks while holding a Shield,盾を装備中に攻撃に{0}から{1}の物理ダメージを追加する
Adds {0} to {1} Physical Damage to Unarmed Attacks,素手攻撃に{0}から{1}の物理ダメージを追加する
Adds {0} to {1} Physical Damage to Axe Attacks,斧攻撃に{0}から{1}の物理ダメージを追加する
Adds {0} to {1} Physical Damage to Claw Attacks,クロー攻撃に{0}から{1}の物理ダメージを追加する
Adds {0} to {1} Physical Damage to Dagger Attacks,ダガー攻撃に{0}から{1}の物理ダメージを追加する
Adds {0} to {1} Physical Damage to Mace and Sceptre Attacks,メイスとセプター攻撃に{0}から{1}の物理ダメージを追加する
Adds {0} to {1} Physical Damage to Staff Attacks,スタッフ攻撃に{0}から{1}の物理ダメージを追加する
Adds {0} to {1} Physical Damage to Sword Attacks,ソード攻撃に{0}から{1}の物理ダメージを追加する
Adds {0} to {1} Physical Damage to Wand Attacks,ワンド攻撃に{0}から{1}の物理ダメージを追加する
Adds {0} to {1} Chaos Damage to Spells while Dual Wielding,デュアルウィールド中にスペルに{0}から{1}の混沌ダメージを追加する
Adds {0} to {1} Chaos Damage to Spells while holding a Shield,盾を装備中にスペルに{0}から{1}の混沌ダメージを追加する
Adds {0} to {1} Chaos Damage to Spells while wielding a Two Handed Weapon,両手武器を装備中にスペルに{0}から{1}の混沌ダメージを追加する
Adds {0} to {1} Cold Damage to Spells while Dual Wielding,デュアルウィールド中にスペルに{0}から{1}の冷気ダメージを追加する
Adds {0} to {1} Cold Damage to Spells while holding a Shield,盾を装備中にスペルに{0}から{1}の冷気ダメージを追加する
Adds {0} to {1} Cold Damage to Spells while wielding a Two Handed Weapon,両手武器を装備中にスペルに{0}から{1}の冷気ダメージを追加する
Adds {0} to {1} Fire Damage to Spells while Dual Wielding,デュアルウィールド中にスペルに{0}から{1}の炎ダメージを追加する
Adds {0} to {1} Fire Damage to Spells while holding a Shield,盾を装備中にスペルに{0}から{1}の炎ダメージを追加する
Adds {0} to {1} Fire Damage to Spells while wielding a Two Handed Weapon,両手武器を装備中にスペルに{0}から{1}の炎ダメージを追加する
Adds {0} to {1} Lightning Damage to Spells while Dual Wielding,デュアルウィールド中にスペルに{0}から{1}の雷ダメージを追加する
Adds {0} to {1} Lightning Damage to Spells while holding a Shield,盾を装備中にスペルに{0}から{1}の雷ダメージを追加する
Adds {0} to {1} Lightning Damage to Spells while wielding a Two Handed Weapon,両手武器を装備中にスペルに{0}から{1}の雷ダメージを追加する
Adds {0} to {1} Physical Damage to Spells while Dual Wielding,デュアルウィールド中にスペルに{0}から{1}の物理ダメージを追加する
Adds {0} to {1} Physical Damage to Spells while holding a Shield,盾を装備中にスペルに{0}から{1}の物理ダメージを追加する
Adds {0} to {1} Physical Damage to Spells while wielding a Two Handed Weapon,両手武器を装備中にスペルに{0}から{1}の物理ダメージを追加する
{0}% increased Elemental Damage with Wands,ワンドによる元素ダメージが{0}%増加する
{0}% reduced Elemental Damage with Wands,ワンドによる元素ダメージが{0}%減少する
{0}% increased Elemental Damage with Staves,スタッフによる元素ダメージが{0}%増加する
{0}% reduced Elemental Damage with Staves,スタッフによる元素ダメージが{0}%減少する
{0}% increased Elemental Damage with Maces and Sceptres,メイスとセプターによるエレメンタルダメージが{0}%増加する
{0}% reduced Elemental Damage with Maces and Sceptres,メイスとセプターによるエレメンタルダメージが{0}%減少する
{0}% chance to gain an Endurance Charge when you Block,ブロック時に{0}%の確率でエンデュランスチャージを1個獲得する
Gain an Endurance Charge when you Block,ブロック時にエンデュランスチャージを1個獲得する
{0}% increased Endurance Charge Duration,エンデュランスチャージの持続時間が{0}%増加する
{0}% reduced Endurance Charge Duration,エンデュランスチャージの持続時間が{0}%減少する
Gain a Frenzy Charge when an Enemy Blocks your Damage,敵がプレイヤーのダメージをブロックした時にフレンジーチャージを1個獲得する
{0}% increased Frenzy Charge Duration,フレンジーチャージの持続時間が{0}%増加する
{0}% reduced Frenzy Charge Duration,フレンジーチャージの持続時間が{0}%減少する
{0}% chance to gain a Power Charge when you Block,ブロック時に{0}%の確率でパワーチャージを1個獲得する
Gain a Power Charge when you Block,ブロック時にパワーチャージを1個獲得する
{0}% increased Area of Effect per Power Charge,パワーチャージ1個ごとに効果範囲が{0}%増加する
{0}% chance to gain a Power Charge when your Trap is triggered by an Enemy,トラップを敵が作動した時に{0}%の確率でパワーチャージを1個獲得する
Gain a Power Charge when your Trap is triggered by an Enemy,トラップが敵により作動した時にパワーチャージを1個獲得する
{0}% chance to gain a Power Charge when your Mine is Detonated targeting an Enemy,マインが敵を対象として起爆した時に{0}%の確率でパワーチャージを1個獲得する
Gain a Power Charge when your Mine is Detonated targeting an Enemy,マインが敵を対象として起爆した時にパワーチャージを1個獲得する
{0}% increased Damage over Time per Frenzy Charge,フレンジーチャージ1個ごとに継続ダメージが{0}%増加する
{0}% increased Damage over Time per Power Charge,パワーチャージ1個ごとに継続ダメージが{0}%増加する
{0}% increased Damage over Time while Dual Wielding,二刀流中は継続ダメージが{0}%増加する
{0}% increased Damage over Time while holding a Shield,盾装備中は継続ダメージが{0}%増加する
{0}% increased Damage over Time while wielding a Two Handed Weapon,両手武器装備中は継続ダメージが{0}%増加する
{0}% increased Elemental Damage per Frenzy Charge,フレンジーチャージ1個ごとに元素ダメージが{0}%増加する
{0}% increased Physical Damage per Endurance Charge,エンデュランスチャージ1個ごとに物理ダメージが{0}%増加する
{0}% reduced Physical Damage per Endurance Charge,エンデュランスチャージ1個ごとに物理ダメージが{0}%減少する
{0}% increased Spell Damage per Power Charge,パワーチャージ1個ごとにスペルダメージが{0}%増加する
{0}% increased Wand Damage per Power Charge,パワーチャージ1個ごとにワンドのダメージが{0}%増加する
{0}% increased Power Charge Duration,パワーチャージの持続時間が{0}%増加する
{0}% reduced Power Charge Duration,パワーチャージの持続時間が{0}%減少する
Gain a Power Charge when you Kill a Shocked Enemy,プレイヤーが感電状態の敵を倒した時にパワーチャージを1個獲得する
{0}% increased Effect of Buffs on you,プレイヤーに対するバフの効果が{0}%増加する
{0}% increased Effect of Auras on you,オーラ効果が{0}%増加する
{0}% increased Effect of Auras on your Minions,ミニオンに対するオーラ効果が {0}% 上昇
{0}% increased Movement Speed on Shocked Ground,感電領域の上にいる時に移動スピードが{0}%増加する
{0}% increased Damage on Burning Ground,燃焼領域の上にいる時のダメージが{0}%増加する
Regenerate {0}% of Life per second on Chilled Ground,冷却領域の上にいる時に毎秒ライフの{0}%を自動回復する
{0}% increased Effect of Chilled Ground on you,冷却領域から受ける効果が{0}%増加する
{0}% reduced Effect of Chilled Ground on you,冷却領域から受ける効果が{0}%減少する
{0}% increased Effect of Burning Ground on you,燃焼領域から受ける効果が{0}%増加する
{0}% reduced Effect of Burning Ground on you,燃焼領域から受ける効果が{0}%減少する
{0}% increased Effect of Shocked Ground on you,感電領域から受ける効果が{0}%増加する
{0}% reduced Effect of Shocked Ground on you,感電領域から受ける効果が{0}%減少する
{0}% increased Effect of Desecrated Ground on you,冒涜領域から受ける効果が{0}%増加する
{0}% reduced Effect of Desecrated Ground on you,冒涜領域から受ける効果が{0}%減少する
Gain a Power Charge when an Enemy Interrupts you while you're Casting a Spell,プレイヤーがスペルをキャストしている時に敵から妨害を受けるとパワーチャージを1個獲得する
Nearby Party members gain Endurance Charges whenever you do,プレイヤーがエンデュランスチャージを獲得した時に近くのパーティーメンバーもエンデュランスチャージを獲得する
Nearby Party members gain Frenzy Charges whenever you do,プレイヤーがフレンジーチャージを獲得した時に近くのパーティーメンバーもフレンジーチャージを獲得する
Nearby Party members gain Power Charges whenever you do,プレイヤーがパワーチャージを獲得した時に近くのパーティーメンバーもパワーチャージを獲得する
{0}% increased total Recovery per second from Life Leech,リーチによる秒間合計ライフ回復量が{0}%増加する
{0}% reduced total Recovery per second from Life Leech,リーチによる秒間合計ライフ回復量が{0}%減少する
{0}% increased total Recovery per second from Mana Leech,リーチによる秒間合計マナ回復量が{0}%増加する
{0}% reduced total Recovery per second from Mana Leech,リーチによる秒間合計マナ回復量が{0}%減少する
{0}% increased total Recovery per second from Energy Shield Leech,リーチによる秒間合計エナジーシールド回復量が{0}%増加する
{0}% reduced total Recovery per second from Energy Shield Leech,リーチによる秒間合計エナジーシールド回復量が{0}%減少する
{0} to maximum number of Raised Zombies,蘇生したゾンビ最大数 {0}
{0} to maximum number of Spectres,蘇生したスペクター最大数 {0}
{0} to maximum number of Skeletons,スケルトンの最大数 {0}
{0} to maximum number of Raging Spirits,レイジングスピリット最大数 {0}
Curses you Cast never expire,キャストした呪いが決して消滅しない
{0}% chance to Dodge Attack Hits,攻撃ヒットを回避する確率が {0}%
{0}% chance to Dodge Spell Hits,スペルヒットを回避する確率が {0}%
Removes all Armour,全てのアーマーを取り除く
Removes all Energy Shield,全てのエナジーシールドを取り除く
Provides Immunity to Chaos Damage,混沌ダメージへの完全無効化を与える
You can apply an additional Curse,追加の呪いを付与できる
You can apply {0} additional Curses,呪いを追加で{0}個付与できる
An additional Curse can be applied to you,プレイヤー自身に対して呪いを追加で1個付与できる
{0} additional Curses can be applied to you,プレイヤー自身に対して呪いを追加で{0}個付与できる
{0}% increased Effect of Curses on you,プレイヤーに対する呪いの効果が{0}%増加する
{0}% reduced Effect of Curses on you,プレイヤーに対する呪いの効果が{0}%減少する
{0}% increased Duration of Curses on you,受ける呪いの持続時間が{0}%増加する
{0}% reduced Duration of Curses on you,受ける呪いの持続時間が{0}%減少する
Cannot be Stunned when on Low Life,低ライフ時にスタンを受けることがない
Gain {0}% of Maximum Mana as Extra Maximum Energy Shield,最大マナの{0}%を追加の最大エナジーシールドとして獲得する
All Physical Damage Converted to Fire Damage,物理ダメージの全てを火ダメージに変換する
{0}% of Physical Damage Converted to Fire Damage against Ignited Enemies,発火状態の敵に対して物理ダメージの{0}%を火ダメージに変換する
Never deal Critical Strikes,クリティカルストライクを与えることがなくなる
Removes all Mana,全てのマナを取り除く
Ignore all Movement Penalties from Armour,防具による移動スピードのペナルティの全てを無視する
{0}% increased Flask Charges gained,獲得フラスコチャージが{0}%増加する
{0}% reduced Flask Charges gained,獲得フラスコチャージが{0}%減少する
{0}% increased Flask Charges used,使用されるフラスコチャージが{0}%増加する
{0}% reduced Flask Charges used,使用されるフラスコチャージが{0}%減少する
{0}% increased Flask Charges used from Mana Flasks,マナフラスコで消費されるフラスコチャージが{0}%増加する
{0}% reduced Flask Charges used from Mana Flasks,マナフラスコで消費されるフラスコチャージが{0}%減少する
{0}% increased Flask Effect Duration,フラスコ効果持続時間が{0}%増加する
{0}% reduced Flask Effect Duration,フラスコ効果持続時間が{0}%減少する
{0}% increased Flask Life Recovery rate,フラスコライフ回復レートが{0}%増加する
{0}% reduced Flask Life Recovery rate,フラスコライフ回復レートが{0}%減少する
{0}% increased Flask Mana Recovery rate,フラスコマナ回復レートが{0}%増加する
{0}% reduced Flask Mana Recovery rate,フラスコマナ回復レートが{0}%減少する
Cannot Resist Cold Damage,冷気ダメージをレジストすることができない
All bonuses from an Equipped Shield apply to your Minions instead of you,装備中の盾からの全てのボーナスはプレイヤーの代わりにミニオンに適用される
{0}% more maximum Energy Shield,最大エナジーシールドが{0}%上昇する
{0}% less maximum Energy Shield,最大エナジーシールドが{0}%低下する
{0}% more Spell Damage,スペルダメージが{0}%上昇する
{0}% less Spell Damage,スペルダメージが{0}%低下する
{0}% increased effect of Elemental Equilibrium,エレメンタルバランスの効果が {0}% 上昇
Enemies you Attack Reflect {0} Physical Damage to you,プレイヤーがアタックした敵は{0}の物理ダメージをプレイヤーに反射する
Enemies you Attack Reflect {0} to {1} Physical Damage to you,プレイヤーがアタックした敵は{0}から{1}の物理ダメージをプレイヤーに反射する
Reflects {0} to {1} Physical Damage to Melee Attackers,{0}から{1}の物理ダメージを近接アタックしてきた敵に反射する
Reflects {0} to {1} Fire Damage to Melee Attackers,{0}から{1}の火ダメージを近接アタックしてきた敵に反射する
Reflects {0} to {1} Cold Damage to Melee Attackers,{0}から{1}の冷気ダメージを近接アタックしてきた敵に反射する
Reflects {0} to {1} Lightning Damage to Melee Attackers,{0}から{1}の雷ダメージを近接アタックしてきた敵に反射する
Reflects {0} to {1} Chaos Damage to Melee Attackers,{0}から{1}の混沌ダメージを近接アタックしてきた敵に反射する
Reflects {0} Physical Damage to Melee Attackers,{0}の物理ダメージを近接アタックしてきた敵に反射する
Reflects {0} Cold Damage to Melee Attackers,{0}の冷気ダメージを近接アタックしてきた敵に反射する
Reflects {0} Fire Damage to Melee Attackers,{0}の火ダメージを近接アタックしてきた敵に反射する
Reflects {0} Lightning Damage to Melee Attackers,{0}の雷ダメージを近接アタックしてきた敵に反射する
Reflects {0} Chaos Damage to Melee Attackers,{0}の混沌ダメージを近接アタックしてきた敵に反射する
Reflects {0} Physical Damage when Hit,ヒットを受けた時に{0}の物理ダメージを反射する
Reflects {0} Fire Damage when Hit,ヒットを受けた時に{0}の火ダメージを反射する
Reflects {0} Cold Damage when Hit,ヒットを受けた時に{0}の冷気ダメージを反射する
Reflects {0} Lightning Damage when Hit,ヒットを受けた時に{0}の雷ダメージを反射する
Reflects {0} Chaos Damage when Hit,ヒットを受けた時に{0}の混沌ダメージを反射する
{0} Physical Damage taken from Attack Hits,アタックのヒットにより受ける物理ダメージ {0}
{0} Fire Damage taken from Attack Hits,攻撃ヒットから受ける炎ダメージが {0}
{0} Cold Damage taken from Attack Hits,攻撃ヒットから受ける冷気ダメージが {0}
{0} Lightning Damage taken from Attack Hits,攻撃ヒットから受ける雷ダメージが {0}
{0} Chaos Damage taken from Attack Hits,攻撃ヒットから受ける混沌ダメージが {0}
Projectiles deal {0}% more Damage,投射物が {0}% 多くダメージを与える
Projectiles deal {0}% less Damage,投射物が {0}% 少なくダメージを与える
Damage Over Time caused by Projectiles deals {0}% more Damage,投射物による継続ダメージが{0}%上昇する
Damage Over Time caused by Projectiles deals {0}% less Damage,投射物による継続ダメージが {0}% 少なくなる
{0}% additional chance to Dodge Attack Hits,攻撃ヒットを回避する追加確率が {0}%
{0}% additional chance to Dodge Spell Hits,スペルヒットを回避する追加確率が {0}%
Your Skills deal you {0}% of Mana Spent on Skill Mana Costs as Physical Damage,スキルで使用したマナコストの {0}% を物理ダメージとして自身に与える
Curse Skills have {0}% increased Cast Speed,呪いスキルのキャストスピードが{0}%増加する
Curse Skills have {0}% reduced Cast Speed,呪いスキルのキャストスピードが{0}%減少する
Elemental Ailments you cause also affect other nearby Enemies,プレイヤーが付与した元素系状態異常は近くの他の敵にも伝染する
Ignites you inflict spread to other Enemies within a Radius of {0},自身が引き起こす発火が、半径 {0} 以内の他の敵に広がる
Shocks you inflict spread to other Enemies within a Radius of {0},自身が引き起こす感電が、半径 {0} 以内の他の敵に広がる
{0}% increased Area of Effect of Aura Skills,オーラスキルの効果範囲が{0}%増加する
{0}% reduced Area of Effect of Aura Skills,オーラスキルの効果範囲が{0}%減少する
{0}% increased Area of Effect of Curse Skills,呪いスキルの効果範囲が {0}% 上昇
{0}% reduced Area of Effect of Curse Skills,呪いスキルの効果範囲が {0}% 低下
{0}% increased Mana Reserved,マナリザーブが {0}% 上昇
{0}% reduced Mana Reserved,マナリザーブが {0}% 低下
{0} Physical Damage taken from Hits,ヒットから受ける物理ダメージが{0}される
{0} Physical Damage taken from Hits per Level,1レベルごとにヒットにより受ける物理ダメージ {0}
{0} Fire Damage taken from Hits,ヒットから受ける火ダメージが{0}される
{0}% increased Damage taken,受けるダメージが{0}%増加する
{0}% reduced Damage taken,受けるダメージが{0}%減少する
{0}% increased Area Damage taken from Hits,ヒットにより受ける範囲ダメージが{0}%増加する
{0}% reduced Area Damage taken from Hits,ヒットにより受ける範囲ダメージが{0}%減少する
{0}% increased Damage taken from Hits,ヒットにより受けるダメージが{0}%増加する
{0}% reduced Damage taken from Hits,ヒットにより受けるダメージが{0}%減少する
{0}% increased Physical Damage taken,受ける物理ダメージが{0}%増加する
{0}% reduced Physical Damage taken,受ける物理ダメージが{0}%減少する
{0}% increased Fire Damage taken,受ける火ダメージが{0}%増加する
{0}% reduced Fire Damage taken,受ける火ダメージが{0}%減少する
{0}% increased Chaos Damage taken,受ける混沌ダメージが{0}%増加する
{0}% reduced Chaos Damage taken,受ける混沌ダメージが{0}%減少する
{0}% increased Damage taken while on Full Energy Shield,フルエナジーシールド時に受けるダメージが{0}%増加する
{0}% reduced Damage taken while on Full Energy Shield,フルエナジーシールド時に受けるダメージが{0}%減少する
{0}% increased Damage taken from Damage Over Time,受ける継続ダメージが{0}%増加する
{0}% reduced Damage taken from Damage Over Time,受ける継続ダメージが{0}%減少する
{0} Physical Damage taken from Projectile Attacks,投射物アタックにより受ける物理ダメージ {0}
{0}% increased Damage taken from Skeletons,スケルトンから受けるダメージが{0}%増加する
{0}% reduced Damage taken from Skeletons,スケルトンから受けるダメージが{0}%減少する
{0}% increased Damage taken from Ghosts,ゴーストから受けるダメージが{0}%増加する
{0}% reduced Damage taken from Ghosts,ゴーストから受けるダメージが{0}%減少する
You can't deal Damage with your Skills yourself,プレイヤーは自身のスキルではダメージを与えることができない
{0} to maximum number of Summoned Totems,召喚できるトーテムの最大数 {0}
Can have up to {0} Trap placed at a time,一度に最大{0}個のトラップを設置できる
Can have up to {0} Traps placed at a time,一度に最大{0}個のトラップを設置できる
Can have up to {0} Remote Mine placed at a time,一度に最大{0}個の遠隔操作マインを設置できる
Can have up to {0} Remote Mines placed at a time,一度に最大{0}個の遠隔操作マインを設置できる
Can have up to {0} additional Trap placed at a time,同時に展開可能なトラップの数が最大{0}個追加される
Can have up to {0} additional Traps placed at a time,同時に展開可能なトラップの数が最大{0}個追加される
Can have up to {0} additional Remote Mine placed at a time,同時に展開可能な遠隔操作マインの数が最大{0}個追加される
Can have up to {0} additional Remote Mines placed at a time,同時に展開可能なマインの数が最大{0}個追加される
Cannot Block Attacks,攻撃をブロックできない
